epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,814.097,2.10608,2.26495,2.6761,0.00311,0.82353,0.00943,0.00268,2.46658,3.98145,4.27071,0.000948176,0.000948176,0.000948176
78,823.82,2.13377,2.28224,2.68176,0.00311,0.82353,0.00776,0.00253,2.41806,3.9841,4.30827,0.000953029,0.000953029,0.000953029
79,833.69,2.30341,2.44055,2.77495,0.00311,0.82353,0.00857,0.00267,2.39372,3.64024,4.35859,0.000957684,0.000957684,0.000957684
80,844.273,2.19115,2.257,2.65305,0.00311,0.82353,0.008,0.00258,2.38681,3.59269,4.37592,0.000962141,0.000962141,0.000962141
81,853.32,2.08567,2.21616,2.59492,0.00311,0.82353,0.00845,0.00268,2.39145,3.58519,4.3536,0.0009664,0.0009664,0.0009664
82,863.353,2.118,2.20974,2.65779,0.00311,0.82353,0.00997,0.00294,2.40441,3.61145,4.27919,0.000970461,0.000970461,0.000970461
83,872.633,2.08614,2.17356,2.60774,0.00311,0.82353,0.01035,0.00286,2.41623,3.669,4.222,0.000974324,0.000974324,0.000974324
84,881.979,2.06876,2.17832,2.59571,0.00311,0.82353,0.01008,0.00278,2.45818,3.76495,4.1768,0.000977989,0.000977989,0.000977989
85,891.171,1.97328,2.11834,2.52381,0.00311,0.82353,0.01005,0.00283,2.45682,3.60293,4.24074,0.000981456,0.000981456,0.000981456
86,900.504,1.8852,2.03827,2.44896,0.00311,0.82353,0.01025,0.00284,2.46093,3.46404,4.27143,0.000984725,0.000984725,0.000984725
87,909.377,1.92214,2.02843,2.41431,0.00311,0.82353,0.01054,0.00284,2.46342,3.449,4.27598,0.000987796,0.000987796,0.000987796
88,918.029,1.84771,2.01352,2.39562,0.00311,0.82353,0.0093,0.00278,2.4449,3.44825,4.2994,0.000990669,0.000990669,0.000990669
89,926.828,1.87595,1.99485,2.38709,0.00311,0.82353,0.00952,0.00287,2.41881,3.46279,4.27962,0.000993344,0.000993344,0.000993344
90,935.836,2.0047,2.11057,2.48756,0.00311,0.82353,0.01077,0.00301,2.41022,3.47185,4.2372,0.000995821,0.000995821,0.000995821
91,945.021,1.90038,2.05476,2.36139,0.00311,0.82353,0.00797,0.00268,2.42517,3.49883,4.18128,0.0009981,0.0009981,0.0009981
92,954.05,1.93266,2.00626,2.43094,0.00311,0.82353,0.00907,0.00283,2.47819,3.46613,4.12114,0.00100018,0.00100018,0.00100018
93,963.075,1.85702,1.98909,2.37936,0.00311,0.82353,0.06455,0.01871,2.46317,3.44347,4.05831,0.00100206,0.00100206,0.00100206
94,972.134,1.89615,1.90925,2.35262,0.00311,0.82353,0.02755,0.01205,2.42235,3.45741,4.09543,0.00100375,0.00100375,0.00100375
95,981.084,1.83588,1.90455,2.30895,0.00311,0.82353,0.03022,0.00931,2.39682,3.45343,4.12811,0.00100524,0.00100524,0.00100524
96,989.983,1.77708,1.87754,2.28521,0.00311,0.82353,0.02923,0.01038,2.37661,3.47195,4.17109,0.00100653,0.00100653,0.00100653
97,998.877,1.68912,1.79894,2.21361,0.00311,0.82353,0.03089,0.00917,2.37979,3.46977,4.14243,0.00100762,0.00100762,0.00100762
98,1007.79,1.79985,1.8955,2.30799,0.00311,0.82353,0.03562,0.01394,2.3697,3.49839,4.14184,0.00100851,0.00100851,0.00100851
99,1016.94,1.70159,1.85028,2.22813,0.00311,0.82353,0.05797,0.01979,2.42214,3.48492,4.07653,0.0010092,0.0010092,0.0010092
100,1025.74,1.71451,1.75156,2.17986,0.00289,0.76471,0.10789,0.02488,2.46322,3.46532,4.00654,0.0010097,0.0010097,0.0010097
101,1034.89,1.64961,1.69677,2.16826,0.67261,0.05882,0.09397,0.03647,2.42185,3.45045,3.95367,0.00101,0.00101,0.00101
102,1044.1,1.72199,1.74456,2.17072,0.80585,0.05882,0.09668,0.03834,2.38785,3.44886,3.9063,0.0010001,0.0010001,0.0010001
